Exercise,Difficulty Level,"Target Muscle Group ",Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,"Primary Equipment ",# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,"Continuous or Alternating Arms ",Grip,Load Position (Ending),"Continuous or Alternating Legs ",Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification,
Double Kettlebell Incline Bench Prone Row,Novice,Back,Latissimus Dorsi,,,Kettlebell,2,Bench (Incline),1,Prone,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Bodybuilding,
Single Arm Dumbbell Incline Bench Prone Row,Novice,Back,Latissimus Dorsi,,,Dumbbell,1,Bench (Incline),1,Prone,Single Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Bodybuilding,
Single Arm Dumbbell Spider Curl,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,1,Bench (Incline),1,Prone,Single Arm,Continuous,Supinated,Other,Continuous,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding,
Double Kettlebell Spider Curl,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Kettlebell,2,Bench (Incline),1,Prone,Double Arm,Continuous,Supinated,Other,Continuous,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding,
Double Kettlebell Bottoms Up Incline Bench Press,Novice,Chest,Pectoralis Major,Triceps Brachii,,Kettlebell,2,Bench (Incline),1,Supine,Double Arm,Continuous,Bottoms Up,Above Chest,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding,
Double Dumbbell Seated Good Morning,Novice,Back,Erector Spinae,Biceps Femoris,Gluteus Maximus,Dumbbell,2,Bench (Flat),1,Seated,Double Arm,Continuous,Neutral,Low Hold,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Unsorted*,Unsorted*,Compound,Bilateral,Bodybuilding,
Bodyweight Hip Thrust,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Quadriceps Femoris,Bodyweight,1,Bench (Flat),1,Bridge,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding,
Double Kettlebell Front Rack Box Pistol Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2,Plyo Box,1,Single Leg Standing,Double Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance,
Alternating Double Kettlebell Bottoms Up Incline Bench Press,Novice,Chest,Pectoralis Major,Triceps Brachii,,Kettlebell,2,Bench (Incline),1,Supine,Double Arm,Alternating,Bottoms Up,Above Chest,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding,
Single Arm Kettlebell Bottoms Up Incline Bench Press,Novice,Chest,Pectoralis Major,Triceps Brachii,,Kettlebell,1,Bench (Incline),1,Supine,Single Arm,Continuous,Bottoms Up,Above Chest,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding,
Alternating Double Kettlebell Incline Bench Prone Row,Novice,Back,Latissimus Dorsi,,,Kettlebell,2,Bench (Incline),1,Prone,Double Arm,Alternating,Neutral,Other,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Bodybuilding,
Single Arm Kettlebell Incline Bench Prone Row,Novice,Back,Latissimus Dorsi,,,Kettlebell,1,Bench (Incline),1,Prone,Single Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Bodybuilding,
Ring Side Plank Reach Through,Expert,Abdominals,Obliques,Rectus Abdominis,,Gymnastic Rings,1,,0,Side Plank,Single Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Anti-Lateral Flexion,Spinal Rotational,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics,
Single Arm Dumbbell Overhead Contralateral Bulgarian Split Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,1,Bench (Flat),1,Single Leg Supported,Single Arm,Continuous,Neutral,Overhead,Continuous,Foot Elevated (Rear),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding,
Single Arm Dumbbell Overhead Contralateral Knee Over Toe Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Soleus,Dumbbell,1,,0,Knee Over Toe Split Squat,Single Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding,
Double Kettlebell Suitcase Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,2,Plyo Box,1,Standing,Double Arm,Continuous,Neutral,Suitcase,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Single Arm Kettlebell Suitcase Contralateral Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,Plyo Box,1,Standing,Single Arm,Continuous,Neutral,Suitcase,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding,
Single Arm Kettlebell Suitcase Ipsilateral Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,Plyo Box,1,Standing,Single Arm,Continuous,Neutral,Suitcase,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding,
Single Arm Kettlebell Front Rack Contralateral Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,Plyo Box,1,Standing,Single Arm,Continuous,Neutral,Front Rack,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding,
Single Arm Kettlebell Front Rack Ipsilateral Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,Plyo Box,1,Standing,Single Arm,Continuous,Neutral,Front Rack,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding,
Double Kettlebell Overhead Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,2,Plyo Box,1,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Single Arm Kettlebell Overhead Contralateral Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,Plyo Box,1,Standing,Single Arm,Continuous,Pronated,Overhead,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding,
Single Arm Kettlebell Overhead Ipsilateral Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,Plyo Box,1,Standing,Single Arm,Continuous,Pronated,Overhead,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding,
Double Kettlebell Bottoms Up Front Rack Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,2,Plyo Box,1,Standing,Double Arm,Continuous,Bottoms Up,Front Rack,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Single Arm Kettlebell Bottoms Up Front Rack Contralateral Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,Plyo Box,1,Standing,Single Arm,Continuous,Bottoms Up,Front Rack,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding,
Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,Plyo Box,1,Standing,Single Arm,Continuous,Bottoms Up,Front Rack,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding,
Double Kettlebell Bottoms Up Overhead Step Up,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,2,Plyo Box,1,Standing,Double Arm,Continuous,Bottoms Up,Overhead,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Single Arm Kettlebell Bottoms Up Overhead Contralateral Step Up,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,Plyo Box,1,Standing,Single Arm,Continuous,Bottoms Up,Overhead,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding,
Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Step Up,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,Plyo Box,1,Standing,Single Arm,Continuous,Bottoms Up,Overhead,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding,
Kettlebell Half Kneeling Low to High Chop,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Kettlebell,1,,0,Half Kneeling,Double Arm,Continuous,Horn Grip,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*,
Single Arm Kettlebell Windmill,Intermediate,Abdominals,Obliques,Rectus Abdominis,Anterior Deltoids,Kettlebell,1,,0,Standing,Single Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,Grinds,
Kettlebell Russian Twist,Novice,Abdominals,Obliques,Rectus Abdominis,Iliopsoas,Kettlebell,1,,0,Seated Floor,Double Arm,Continuous,Horn Grip,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,
Alternating Single Arm Kettlebell Plank Pull Through,Intermediate,Abdominals,Rectus Abdominis,Obliques,,Kettlebell,1,,0,Prone,Single Arm,Alternating,Pronated,Other,Continuous,No Elevation,Single Exercise,Anti-Extension,"Anti-Rotational ",,Sagittal Plane,Frontal Plane,,Midsection,Other,Compound,Unilateral,Unsorted*,
"Single Arm Kettlebell Single Leg Standing Bent Knee Around The World ",Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,1,,0,Single Leg Standing Bent Knee,Single Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Unsorted*,,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,Balance,
Single Arm Kettlebell Swing,Novice,Glutes,Gluteus Maximus,Biceps Femoris,,Kettlebell,1,,1,Standing,Single Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics,
Double Kettlebell Suitcase Feet Elevated Calf Raise,Novice,Calves,Gastrocnemius,Soleus,Tibialis Anterior,Kettlebell,2,,0,Standing,Double Arm,Continuous,Neutral,Suitcase,Continuous,Toes Elevated,Single Exercise,Ankle Plantar Flexion,,,Sagittal Plane,,,Lower Body,Push,Isolation,Bilateral,Bodybuilding,
Single Arm Kettlebell Spider Curl,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Kettlebell,1,Bench (Incline),1,Prone,Single Arm,Continuous,Supinated,Other,Continuous,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding,
Double Kettlebell Bottoms Up Bench Press,Novice,Chest,Pectoralis Major,Triceps Brachii,,Kettlebell,2,Bench (Flat),1,Supine,Double Arm,Continuous,Bottoms Up,Above Chest,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding,
Single Arm Kettlebell Suitcase Deadlift,Novice,Back,Latissimus Dorsi,Obliques,,Kettlebell,1,,0,Standing,Single Arm,Continuous,Neutral,Suitcase,Continuous,No Elevation,Single Exercise,Anti-Lateral Flexion,Hip Hinge,,Sagittal Plane,,,Full Body,Pull,Compound,Unilateral,Bodybuilding,
Single Arm Kettlebell Clean,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,1,,0,Standing,Single Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics,
Single Arm Kettlebell Clean to Overhead Press,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,1,,0,Standing,Single Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Combo Exercise,Hip Hinge,Vertical Push,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics,
Alternating Single Arm Dumbbell Pendlay Row,Novice,Back,Latissimus Dorsi,Biceps Brachii,,Dumbbell,1,,0,Standing,Single Arm,Alternating,Neutral,Other,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Bodybuilding,
Alternating Double Kettlebell Bottoms Up Bench Press,Novice,Chest,Pectoralis Major,Triceps Brachii,,Kettlebell,2,Bench (Flat),1,Supine,Double Arm,Alternating,Bottoms Up,Above Chest,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding,
Single Arm Kettlebell Snatch,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,1,,0,Standing,Single Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics,
Kettlebell Sumo Deadlift,Beginner,Back,Latissimus Dorsi,Gluteus Maximus,Biceps Femoris,Kettlebell,1,,0,Standing,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Pull,Compound,Bilateral,Bodybuilding,
Single Arm Kettlebell Turkish Get Up,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Kettlebell,1,,0,Supine,Single Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,Sagittal Plane,,Full Body,Other,Compound,Unilateral,Grinds,
Kettlebell Goblet Squat,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,,0,Standing,Double Arm,Continuous,Goblet,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Unsorted*,
Single Arm Kettlebell Overhead Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2,,0,Standing,Single Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Unsorted*,
Double Kettlebell Front Rack Alternating Cossack Squat,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,2,,0,Standing,Double Arm,Continuous,Neutral,Front Rack,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Single Arm Kettlebell Bottoms Up Bench Press,Novice,Chest,Pectoralis Major,Triceps Brachii,,Kettlebell,1,Bench (Flat),1,Supine,Single Arm,Continuous,Bottoms Up,Above Chest,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding,
Single Arm Kettlebell Turkish Sit Up,Intermediate,Abdominals,Rectus Abdominis,Anterior Deltoids,Iliopsoas,Kettlebell,1,,0,Supine,Single Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*,
Double Kettlebell Turkish Sit Up,Intermediate,Abdominals,Rectus Abdominis,Anterior Deltoids,Iliopsoas,Kettlebell,2,,0,Supine,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,
Double Kettlebell Turkish Sit Up to Z Press,Intermediate,Abdominals,Rectus Abdominis,Anterior Deltoids,,Kettlebell,2,,0,Seated Floor,Double Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Combo Exercise,Spinal Flexion,Vertical Push,,Sagittal Plane,,,Midsection,Push,Compound,Bilateral,Bodybuilding,
Double Kettlebell Bottoms Up Front Rack Alternating Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,2,,0,Standing,Double Arm,Continuous,Bottoms Up,Front Rack,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Double Kettlebell Swing,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,,Kettlebell,2,,0,Standing,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics,
Double Kettlebell Front Rack Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2,,0,Standing,Double Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding,
Single Arm Kettlebell Front Rack Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,,0,Standing,Single Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Single Arm Kettlebell Front Rack Contralateral Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,,0,Split Squat,Single Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding,
Single Arm Kettlebell Front Rack Carry,Novice,Abdominals,Rectus Abdominis,,,Kettlebell,1,,0,Walking,Single Arm,Continuous,Neutral,Front Rack,Alternating,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,Unsorted*,
Double Kettlebell Bottoms Up Overhead Alternating Cossack Squat,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,2,,0,Standing,Double Arm,Continuous,Bottoms Up,Overhead,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Single Arm Kettlebell Squat Clean,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,,0,Standing,Single Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,Hip Hinge,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics,
Double Kettlebell Prone Row,Novice,Back,Latissimus Dorsi,,,Kettlebell,2,Bench (Flat),1,Prone,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Bodybuilding,
Single Arm Kettlebell Bottoms Up Front Rack Carry,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,1,,0,Walking,Single Arm,Continuous,Bottoms Up,Front Rack,Alternating,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,Unsorted*,
Double Kettlebell Bottoms Up Front Rack Carry,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,2,,0,Walking,Double Arm,Continuous,Bottoms Up,Front Rack,Alternating,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*,
Double Kettlebell Bottoms Up Overhead Walking Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,2,,0,Walking,Double Arm,Continuous,Bottoms Up,Overhead,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Single Arm Kettlebell Bottoms Up Front Rack Walking Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,,0,Walking,Single Arm,Continuous,Bottoms Up,Front Rack,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Alternating Double Kettlebell Prone Row,Novice,Back,Latissimus Dorsi,,,Kettlebell,2,Bench (Flat),1,Prone,Double Arm,Alternating,Neutral,Other,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Bodybuilding,
"Double Kettlebell Single Leg Romanian Deadlift ",Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,Obliques,Kettlebell,2,,0,Single Leg Standing,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Pull,Compound,Unilateral,Bodybuilding,
"Double Kettlebell Romanian Deadlift ",Beginner,Hamstrings,Biceps Femoris,Gluteus Maximus,Erector Spinae,Kettlebell,2,,0,Standing,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Pull,Compound,Bilateral,Bodybuilding,
